ORDEN,SIGLA,ASIGNATURA,SEMESTRE,SIGLA.1,ASIGNATURA.1,SEMESTRE.1,OBSERVACIÓN
1.0,DEP500,ETICA PROFESIONAL I,NOVENO SEMESTRE,PSI 916,PSICOÉTICA,NOVENO SEMESTRE,CONVALIDACIÓN
1.0,DEP501,ETICA PROFESIONAL II,DÉCIMO SEMESTRE,,,,ELIMINADA
,DEP012,GRUPO RELACIONAL I,ELECTIVA,OPT 006,GRUPO RELACIONAL I,ELECTIVA,HOMOLOGACIÓN
,DEP013,GRUPO RELACIONAL II,ELECTIVA,OPT 007,GRUPO RELACIONAL II,ELECTIVA,HOMOLOGACIÓN
,DEP015,TECNICAS RECREACIONALES,ELECTIVA,OPT 006,GRUPO RELACIONAL I,ELECTIVA,CONVALIDACIÓN
,INF151,COMPUTACIÓN I,ELECTIVA,OPT 005,TALLER DE TIC,ELECTIVA,CONVALIDACIÓN
,INF152,COMPUTACIÓN II,ELECTIVA,,,,ELIMINADA
,LEN301,LENGUA NATIVA I,ELECTIVA,OPT 002,LENGUA NATIVA,ELECTIVA,HOMOLOGACIÓN
,LEN321,LENGUA NATIVA II,ELECTIVA,,,,ELIMINADA
,LEN401,LENGUA NATIVA III,ELECTIVA,,,,ELIMINADA
,LEN421,LENGUA NATIVA IV,ELECTIVA,,,,ELIMINADA
,LIN110,IDIOMA INGLÉS I,ELECTIVA,,,,ELIMINADA
,LIN111,IDIOMA INGLÉS II,ELECTIVA,,,,ELIMINADA
,INV500,TALLER DE GRADO DE TESIS I,NOVENO SEMESTRE,INV 936,PERFIL DE GRADO,NOVENO SEMESTRE,HOMOLOGACIÓN
,INV501,TALLER DE GRADO DE TRABAJO DIRIGIDO I,NOVENO SEMESTRE,,,,ELIMINADA
,INV502,TALLER DE GRADO DE PROYECTO SOCIAL I,NOVENO SEMESTRE,,,,ELIMINADA
,CSO452,PSICOLOGÍA AMBIENTAL I,NOVENO SEMESTRE,,,,ELIMINADA
,CSO453,PSICOLOGÍA COMUNITARIA I,NOVENO SEMESTRE,PSI 714,PSICOLOGÍA COMUNITARIA,SÉPTIMO SEMESTRE,HOMOLOGACIÓN
,CSO454,PSICOLOGÍA DE LAS ORGANIZACIONES I,NOVENO SEMESTRE,,,,ELIMINADA
,CSO455,PSICOLOGÍA AMBIENTAL II,DÉCIMO SEMESTRE,,,,ELIMINADA
,CSO456,PSICOLOGÍA COMUNITARIA II,DÉCIMO SEMESTRE,,,,ELIMINADA
,CSO457,PSICOLOGÍA DE LAS ORGANIZACIONES II,DÉCIMO SEMESTRE,,,,ELIMINADA
,PSI500,ABORDAJE CLÍNICO I,NOVENO SEMESTRE,PSI 712,INTERVENCIÓN CLÍNICA HUMANISTA,SÉPTIMO SEMESTRE,COMPENSACIÓN
,PSI501,ABORDAJE EDUCATIVO I,NOVENO SEMESTRE,,,,ELIMINADA
,PSI502,ABORDAJE SOCIO ORGANIZACIONAL I,NOVENO SEMESTRE,,,,ELIMINADA
,PSI503,ABORDAJE CLÍNICO II,DÉCIMO SEMESTRE,,,,ELIMINADA
,PSI504,ABORDAJE EDUCATIVO II,DÉCIMO SEMESTRE,,,,ELIMINADA
,PSI505,ABORDAJE SOCIO-ORGANIZACIONAL II,DÉCIMO SEMESTRE,,,,ELIMINADA
,PSI600,ABORDAJE CLÍNICO I,NOVENO SEMESTRE,PSI 816,INTERVENCIÓN CLÍNICA COGNITIVO CONDUCTUAL I,OCTAVO SEMESTRE,HOMOLOGACIÓN
,PSI601,ABORDAJE EDUCATIVO I,NOVENO SEMESTRE,,,,ELIMINADA
,PSI602,ABORDAJE SOCIO-ORGANIZACIONAL I,NOVENO SEMESTRE,,,,ELIMINADA
,PSI603,ABORDAJE CLÍNICO II,DÉCIMO SEMESTRE,PSI 912,INTERVENCIÓN CLÍNICA COGNITIVO CONDUCTUAL II,NOVENO SEMESTRE,HOMOLOGACIÓN
,PSI604,ABORDAJE EDUCATIVO II,DÉCIMO SEMESTRE,,,,ELIMINADA
,PSI605,ABORDAJE SOCIO-ORGANIZACIONAL II,DÉCIMO SEMESTRE,,,,ELIMINADA
,PSI700,ABORDAJE CLÍNICO I,NOVENO SEMESTRE,PSI 711,INTERVENCIÓN CLÍNICA PSICOANALÍTICA,SÉPTIMO SEMESTRE,CONVALIDACIÓN
,PSI701,ABORDAJE EDUCATIVO I,NOVENO SEMESTRE,,,,ELIMINADA
,PSI702,ABORDAJE SOCIO-ORGANIZACIONAL I,NOVENO SEMESTRE,,,,ELIMINADA
,PSI703,ABORDAJE CLÍNICO II,DÉCIMO SEMESTRE,,,,ELIMINADA
,PSI704,ABORDAJE EDUCATIVO II,DÉCIMO SEMESTRE,,,,ELIMINADA
,PSI705,ABORDAJE SOCIO-ORGANIZACIONAL II,DÉCIMO SEMESTRE,,,,ELIMINADA
,INV503,TALLER DE GRADO DE TESIS II,DÉCIMO SEMESTRE,,,,ELIMINADA
,INV504,TALLER DE GRADO DE TRABAJO DIRIGIDO II,DÉCIMO SEMESTRE,,,,ELIMINADA
,INV505,TALLER DE GRADO DE PROYECTO SOCIAL II,DÉCIMO SEMESTRE,,,,ELIMINADA
,ANT201,MOVIMIENTOS INDÍGENAS EN BOLIVIA,TALLER,,,,ELIMINADA
,ANT301,TERRITORIOS EN LOS PUEBLOS INDÍGENAS BOLIVIANOS,TALLER,,,,ELIMINADA
,ANT302,RELAC.INTERÉTNICAS Y ETNICIDAD,TALLER,,,,ELIMINADA
,ANT304,IDENTIDAD Y CULTURAS,TALLER,,,,ELIMINADA
,CSA202,"SOCIEDAD DE LA INFANCIA, ADOLESCENCIA Y JUVENTUD",TALLER,OPT 004,LEGISLACIÓN Y DERECHOS HUMANOS,ELECTIVA,CONVALIDACIÓN
,CSA203,SOCIOLOGÍA DE LA ORGANIZACIÓN Y TRABAJO,TALLER,,,,ELIMINADA
,CSA301,SOCIOLOGÍA DE LAS MIGRACIONES,TALLER,,,,ELIMINADA
,EPS203,DELITO Y SOCIEDAD,TALLER,PSI 914,PSICOLOGÍA JURÍDICA Y FORENSE,NOVENO SEMESTRE,CONVALIDACIÓN
,PSI552,CLINICA PSICOANALITICA,TALLER,,,,ELIMINADA
,PSI553,PSICOANALISIS CON ADOLESCENTES,TALLER,,,,ELIMINADA
,PSI554,PSICOSOMÁTICA,TALLER,,,,ELIMINADA
,PSI555,PSICOANALISIS DE NINOS,TALLER,PSI 413,PSICOANÁLISIS II,CUARTO SEMESTRE,CONVALIDACIÓN
,PSI556,SALUD MENTAL COMUNITARIA,TALLER,,,,ELIMINADA
,PSI557,PSICOLOGÍA DE LA COMUNICACIÓN,TALLER,,,,ELIMINADA
,PSI558,TÉCNICAS DE CONCILIACIÓN,TALLER,,,,ELIMINADA
,PSI559,TERAPIA ROGERIANA,TALLER,PSI 416,PSICOLOGÍA HUMANÍSTICA,CUARTO SEMESTRE,CONVALIDACIÓN
,PSI560,PSICODRAMA,TALLER,,,,ELIMINADA
,PSI561,PSICOLOGÍA POSITIVA,TALLER,,,,ELIMINADA
,PSI562,DIFICULTADES DE APRENDIZAJE,TALLER,,,,ELIMINADA
,PSI563,PSICOFARMACOLOGÍA,TALLER,,,,ELIMINADA
,PSI564,PSICOHIGIENE,TALLER,,,,ELIMINADA
,PSI565,ORIENTACIÓN VOCACIONAL,TALLER,,,,ELIMINADA
,PSI566,PSICOLOGÍA DE LA SEXUALIDAD,TALLER,OPT 008,PSICOLOGÍA DE LA SEXUALIDAD,ELECTIVA,HOMOLOGACIÓN
,PSI567,PSICOLOGIA ORGANIZACIONAL,TALLER,,,,ELIMINADA
,PSI568,EDUCACIÓN ESPECIAL,TALLER,OPT 003,EDUCACIÓN ESPECIAL,ELECTIVA,HOMOLOGACIÓN
,PSI569,PSICOLOGÍA DEL DEPORTE,TALLER,,,,ELIMINADA
,SCA204,SOCIOLOGÍA DE LA SALUD,TALLER,,,,ELIMINADA
,SCA205,GÉNERO Y DESARROLLO,TALLER,OPT 001,PSICOLOGÍA DE LA SALUD,ELECTIVA,CONVALIDACIÓN
,SUI201,TEORÍA DEL CONFLICTO SOCIAL,TALLER,,,,ELIMINADA
,SUI302,ECOLOGÍA SOCIAL,TALLER,,,,ELIMINADA
,,,,PPP 100,PRÁCTICA PRE PROFESIONAL,NOVENO SEMESTRE,NUEVA ASIGNATURA
